temperature,internal energy,partition function,free energy,chemical entropy,q variance 1,q variance 2,q variance 3,q variance 4,q variance 5,q variance 6,q avg 1,q avg 2,q avg 3,q avg 4,q avg 5,q avg 6,q square avg 1,q square avg 2,q square avg 3,q square avg 4,q square avg 5,q square avg 6,state 1 pop,state 2 pop,state 3 pop,state 4 pop,state 5 pop,state 6 pop
7576.1270892486045,3.9692110127155718,540.0741389749749,-4.107604208063943,0.0010660876098873057,4.412225676539645,4.151203475185094,3.427959486540886,2.981225580638308,1.8223561449757277,1.7831216525571891,8.143221089879943e-13,8.812476928551096e-11,-1.8670801352093524e-07,-6.410168854409674e-08,1.0270103401267764e-07,-1.3776835697264432e-11,4.412225676539645,4.151203475185094,3.4279594865409204,2.981225580638312,1.8223561449757384,1.7831216525571891,4.20387040024213e-07,1.5629524213987648e-09,1.779214882633303e-10,5.0177469837659306e-09,4.035112451721942e-10,0.9999995724508277
7569.421667107226,3.9657654021726882,537.1744961888596,-4.1004571600560435,0.0010656326093287079,4.408465728454108,4.1475651056103775,3.4249687665213404,2.978636769240397,1.820825471487368,1.7816275725941415,4.596931027702535e-12,8.781788500086696e-11,-1.7315217124960158e-07,-6.084657767617163e-08,1.0734819728611615e-07,-1.3705692879079271e-11,4.408465728454108,4.1475651056103775,3.4249687665213706,2.9786367692404006,1.8208254714873795,1.7816275725941415,4.156247516483122e-07,1.5350364883008879e-09,1.7475660947471156e-10,1.5656556127515867e-08,4.0006716873115426e-10,0.9999995666088319
7568.082006775287,3.9650213726430317,536.59674320071,-4.099029638687699,0.0010655343063290582,4.4079692900930825,4.146838309402757,3.4243713047702635,2.9781195687373914,1.820519673363676,1.7813290848619914,9.564457973998019e-12,8.790442527048903e-11,-1.5861037908048138e-07,-5.725638377436165e-08,1.1414645430648277e-07,-1.3696366195260676e-11,4.4079692900930825,4.146838309402757,3.424371304770289,2.9781195687373945,1.820519673363689,1.7813290848619914,4.1467886752902605e-07,1.5295138777147516e-09,1.7413067646432147e-10,2.8810654235004736e-08,3.9938511996145765e-10,0.9999995544074485
7566.742820554134,3.9633609598743127,536.0197501099799,-4.097602791006224,0.0010653148840983353,4.41166402121159,4.146112440732416,3.4237743371796476,2.977602597441298,1.820214005710976,1.7810307201219353,3.959298030850283e-11,8.902943644074601e-11,-6.57923706623948e-08,-3.422096591633022e-08,1.597462416218154e-07,-1.3758156560609533e-11,4.41166402121159,4.146112440732416,3.423774337179652,2.977602597441299,1.8202140057110014,1.7810307201219353,4.1373513403163237e-07,1.524011181834327e-09,1.7350705814640453e-10,1.1489348019866559e-07,3.987052860706588e-10,0.9999994692751623
7566.45016027245,3.960623246062187,535.8937784141328,-4.097291054527973,0.0010649530664852767,4.4233251361964925,4.145954725257785,3.4236442622068806,2.977489681486766,1.8201472331884494,1.7809655367235893,7.194556631111084e-11,9.072343975660648e-11,6.130442342328439e-08,-2.652127833448896e-09,2.226508169000215e-07,-1.388882832360898e-11,4.4233251361964925,4.145954725257785,3.423644262206884,2.977489681486766,1.820147233188499,1.7809655367235893,4.1352909870031793e-07,1.5228108942534376e-09,1.73371037599745e-10,2.332150987911771e-07,3.9855694457118234e-10,0.9999993511610635
7566.157522628441,3.9161722293632386,535.7682200302511,-4.096979809113793,0.0010590781403257525,4.625576058926822,4.145803509335712,3.423516924767529,2.9773772051599545,1.820080653990587,1.7809004976198428,8.433226585832463e-11,1.0285463818964899e-10,9.476648666893149e-07,2.1753835893826774e-07,6.618361703340341e-07,-1.4945968233230863e-11,4.625576058926822,4.145803509335712,3.423516924768427,2.977377205160002,1.820080653991025,1.7809004976198428,4.1332287496206335e-07,1.5216104832260263e-09,1.732350052312118e-10,1.0588602843701255e-06,3.984084281928943e-10,0.9999985257235866
7566.098309130345,3.8121234550184084,535.7432824805489,-4.096917397623149,0.0010453262077096419,5.100771340998776,4.14578088002082,3.423494509009181,2.977354975433703,1.8200674130390482,1.7808875080718394,-3.0350405820567447e-10,1.181917366728244e-10,2.059668961683863e-06,4.937904902183851e-07,1.2129000903769667e-06,-1.633946937645627e-11,5.100771340998776,4.14578088002082,3.4234945090134232,2.977354975433947,1.8200674130405192,1.7808875080718394,4.132807984692092e-07,1.5213663700839684e-09,1.7320734159962048e-10,2.0947666734176833e-06,3.9837804228644336e-10,0.9999974898595765
7566.039096559063,2.5705001815745936,535.7208687620989,-4.096858057293775,0.0008812217533875283,10.772878544546474,4.145801433459223,3.4234902497235047,2.977335613906806,1.8200554237776922,1.780875443358917,-8.05141593553121e-09,2.0353943996618063e-10,8.226080583117641e-06,2.025705774479132e-06,4.2687425560246886e-06,-2.4273702647426855e-11,10.772878544546474,4.145801433459223,3.4234902497911732,2.9773356139109093,1.8200554237959143,1.780875443358917,4.1323678055356407e-07,1.5211151341096895e-09,1.731788671248677e-10,7.839221727258333e-06,3.98345785170849e-10,0.9999917454488525
7566.02561518049,0.2290537981021612,535.7184324409095,-4.096847792309809,0.0005717534952211201,21.469370509162626,4.14585176346901,3.4235084739121535,2.9773342374991714,1.8200540170646515,1.780873673784068,-2.482366372120299e-08,2.970502688710123e-10,1.4973391360771727e-05,3.70193692973218e-06,7.612443411082312e-06,-3.3066019062600975e-11,21.469370509162626,4.14585176346901,3.423508474136356,2.9773342375128755,1.8200540171226007,1.780873673784068,4.1322470228567377e-07,1.5210503671421167e-09,1.7317152273015023e-10,1.412481768113765e-05,3.9833645870849426e-10,0.9999854598650583
7566.012133849957,-15.565684509239153,535.7254195300517,-4.096848995927417,-0.001515836256989431,93.62421327269722,4.146063406286531,3.4235945224132105,2.977343574363525,1.820057285070947,1.780875357351196,-1.4681002637237823e-07,6.524037103634303e-10,4.060236269172165e-05,1.0068936298795703e-05,2.031310230053738e-05,-6.679308175416464e-11,93.62421327269725,4.146063406286531,3.4235945240617625,2.9773435744649084,1.8200572854835693,1.780875357351196,4.132053559797575e-07,1.520958848870859e-09,1.7316113270442735e-10,3.799997600604843e-05,3.983201260156647e-10,0.9999615847261979
